variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
full_v3	11	GSE292299|GSM8855709_NSCLC_P7|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940024	high_pilot_v3	True	True	0						
full_v3	12	GSE292299|GSM8855709_NSCLC_P7|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939492	high_pilot_v3	True	True	0						
full_v3	13	GSE292299|GSM8855712_NSCLC_P10|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939243	high_pilot_v3	True	True	1						
full_v3	14	GSE300445|GSM9060733_AdjIII-0022|tumor_like|tumor_like|MIF|CD74|MIF	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.938888	high_pilot_v3	True	True	1						
full_v3	15	GSE292299|GSM8855709_NSCLC_P7|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.938391	high_pilot_v3	True	True	0						
full_v3	16	GSE283052|GSM8655167_P18|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655167_P18	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.938178	high_pilot_v3	True	True	1						
full_v3	17	GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.938107	high_pilot_v3	True	True	1						
full_v3	18	GSE300445|GSM9060733_AdjIII-0022|tumor_like|tumor_like|COL1A1|ITGA2|ECM-integrin	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.937965	high_pilot_v3	True	True	0						
full_v3	19	GSE283052|GSM8655160_P07|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.937894	high_pilot_v3	True	True	0						
full_v3	20	GSE292299|GSM8855718_NSCLC_P16|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.937681	high_pilot_v3	True	True	1						
full_v3	21	GSE292299|GSM8855704_NSCLC_P2|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.937468	high_pilot_v3	True	True	0						
full_v3	22	GSE292299|GSM8855709_NSCLC_P7|immune|immune|SPP1|ITGAV|SPP1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	immune	immune	SPP1	ITGAV	SPP1	0.937432	high_pilot_v3	True	True	0						
full_v3	23	GSE292299|GSM8855717_NSCLC_P15|immune|immune|MIF|CD74|MIF	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	MIF	CD74	MIF	0.937361	high_pilot_v3	True	True	1						
